# timestamp,actual_x,target_x,actual_y,target_y,actual_z,target_z,actual_yaw,target_yaw,actual_vel_x,target_vel_x,actual_vel_y,target_vel_y,actual_vel_z,target_vel_z,actual_acc_x,target_acc_x,actual_acc_y,target_acc_y,actual_acc_z,target_acc_z,actual_ang_vel_x,target_ang_vel_x,actual_ang_vel_y,target_ang_vel_y,actual_ang_vel_z,target_ang_vel_z,target_throttle
1755249677.230679,0.054264,0.000000,-0.011280,0.000000,-0.011913,-0.011901,-0.007109,0.000000,-0.043675,0.000000,-0.127434,0.000000,-0.028458,0.002494,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,-0.010105,-0.064658,-0.014976,-0.016193,0.006086,0.028548,0.346707
1755249677.251792,0.048027,0.000000,-0.001805,0.000000,-0.011570,0.000000,-0.001919,0.000000,-0.070568,0.000000,-0.052304,0.000000,-0.028192,0.000000,-1.273796,0.000000,3.558498,0.000000,0.012590,0.000000,-0.004393,-0.064658,-0.022231,-0.016193,-0.012072,0.028548,0.346707
1755249677.252000,0.048012,0.000000,-0.001816,0.000000,-0.011576,-0.011863,-0.001927,0.000000,-0.070168,0.000000,-0.052448,0.000000,-0.028192,0.005012,1.924385,0.000000,-0.689901,0.000000,-0.003392,0.250000,-0.028941,-0.064658,-0.028956,-0.016193,0.002348,0.028548,0.346707
1755249677.257525,0.047572,0.000000,-0.002104,0.000000,-0.011739,-0.011800,-0.002043,0.000000,-0.093836,0.000000,-0.051239,0.000000,-0.031707,0.007506,-4.284034,0.000000,0.218716,0.000000,-0.636151,0.250000,-0.000522,-0.003890,0.014111,0.059921,0.017500,0.011217,0.347141
1755249677.271821,0.046049,0.000000,-0.002858,0.000000,-0.012205,-0.011714,-0.002366,0.000000,-0.110591,0.000000,-0.058677,0.000000,-0.031237,0.009989,-1.171953,0.000000,-0.520274,0.000000,0.032869,0.250000,0.028557,-0.003890,-0.003141,0.059921,0.003323,0.011217,0.342250
1755249677.274815,0.045715,0.000000,-0.003036,0.000000,-0.012299,-0.011602,-0.002300,0.000000,-0.112824,0.000000,-0.060038,0.000000,-0.031520,0.012472,-0.745859,0.000000,-0.454464,0.000000,-0.094351,0.250000,-0.051974,-0.003890,-0.012210,0.059921,-0.023606,0.011217,0.342250
1755249677.287602,0.044012,0.000000,-0.003717,0.000000,-0.012740,-0.011464,-0.003344,0.000000,-0.159890,0.000000,-0.044180,0.000000,-0.037648,0.014992,-3.680827,0.000000,1.240177,0.000000,-0.479280,0.250000,-0.048034,0.003374,0.019137,0.015314,-0.018310,0.011435,0.339371
1755249677.324513,0.038702,0.000000,-0.005126,0.000000,-0.013816,-0.011301,-0.002856,0.000000,-0.085104,0.000000,-0.038312,0.000000,-0.011623,0.017500,2.026076,0.000000,0.158995,0.000000,0.705057,0.250000,0.021317,0.003374,0.010180,0.015314,0.022271,0.011435,0.339572
1755249677.327531,0.038592,0.000000,-0.002317,0.000000,-0.010705,-0.011113,0.000660,0.000000,-0.139551,0.000000,-0.006633,0.000000,-0.003530,0.020004,-18.041591,0.000000,10.497011,0.000000,2.681878,0.250000,0.000865,0.003374,0.013414,0.015314,-0.018934,0.011435,0.328623
1755249677.336274,0.037401,0.000000,-0.002326,0.000000,-0.010733,-0.010902,0.001238,0.000000,-0.132996,0.000000,0.004617,0.000000,-0.002761,0.022483,0.749801,0.000000,1.286703,0.000000,0.087943,0.250000,0.006290,0.003374,0.013622,0.015314,0.001016,0.011435,0.322839
